Time,theta,phi,abs_alpha,abs_beta
0,nan,0,2,2
7.14485e-10,1.5708,-0.628269,0.707107,0.707107
1.42897e-09,1.5708,-1.25654,0.707107,0.707107
2.14346e-09,1.5708,-1.88481,0.707107,0.707107
2.85794e-09,1.5708,-2.51308,0.707107,0.707107
3.57243e-09,1.5708,-3.14135,0.707107,0.707107
4.28691e-09,1.5708,-3.76962,0.707107,0.707107
5.0014e-09,1.5708,-4.39789,0.707107,0.707107
5.71588e-09,1.5708,1.25703,0.707107,0.707107
6.43037e-09,1.5708,0.628761,0.707107,0.707107
7.14485e-09,1.5708,0.000492173,0.707107,0.707107
7.85934e-09,1.5708,-0.627777,0.707107,0.707107
8.57383e-09,1.5708,-1.25605,0.707107,0.707107
9.28831e-09,1.5708,4.39887,0.707107,0.707107
1.00028e-08,1.5708,3.7706,0.707107,0.707107
1.07173e-08,1.5708,3.14233,0.707107,0.707107
1.14318e-08,1.5708,2.51406,0.707107,0.707107
1.21463e-08,1.5708,1.88579,0.707107,0.707107
1.28607e-08,1.5708,1.25752,0.707107,0.707107
1.35752e-08,1.5708,0.629254,0.707107,0.707107
1.42897e-08,1.5708,0.000984346,0.707107,0.707107
1.50042e-08,1.5708,-0.627285,0.707107,0.707107
1.57187e-08,1.5708,-1.25555,0.707107,0.707107
1.64332e-08,1.5708,-1.88382,0.707107,0.707107
1.71477e-08,1.5708,-2.51209,0.707107,0.707107
1.78621e-08,1.5708,-3.14036,0.707107,0.707107
1.85766e-08,1.5708,-3.76863,0.707107,0.707107
1.92911e-08,1.5708,-4.3969,0.707107,0.707107
2.00056e-08,1.5708,1.25802,0.707107,0.707107
2.07201e-08,1.5708,0.629746,0.707107,0.707107
2.14346e-08,1.5708,0.00147652,0.707107,0.707107
2.2149e-08,1.5708,-0.626793,0.707107,0.707107
2.28635e-08,1.5708,-1.25506,0.707107,0.707107
2.3578e-08,1.5708,4.39985,0.707107,0.707107
2.42925e-08,1.5708,3.77158,0.707107,0.707107
2.5007e-08,1.5708,3.14332,0.707107,0.707107
2.57215e-08,1.5708,2.51505,0.707107,0.707107
2.6436e-08,1.5708,1.88678,0.707107,0.707107
2.71504e-08,1.5708,1.25851,0.707107,0.707107
2.78649e-08,1.5708,0.630238,0.707107,0.707107
2.85794e-08,1.5708,0.00196869,0.707107,0.707107
2.92939e-08,1.5708,-0.626301,0.707107,0.707107
3.00084e-08,1.5708,-1.25457,0.707107,0.707107
3.07229e-08,1.5708,-1.88284,0.707107,0.707107
3.14374e-08,1.5708,-2.51111,0.707107,0.707107
3.21518e-08,1.5708,-3.13938,0.707107,0.707107
3.28663e-08,1.5708,-3.76765,0.707107,0.707107
3.35808e-08,1.5708,-4.39592,0.707107,0.707107
3.42953e-08,1.5708,1.259,0.707107,0.707107
3.50098e-08,1.5708,0.63073,0.707107,0.707107
3.57243e-08,1.5708,0.00246086,0.707107,0.707107
3.64388e-08,1.5708,-0.625808,0.707107,0.707107
3.71532e-08,1.5708,-1.25408,0.707107,0.707107
3.78677e-08,1.5708,4.40084,0.707107,0.707107
3.85822e-08,1.5708,3.77257,0.707107,0.707107
3.92967e-08,1.5708,3.1443,0.707107,0.707107
4.00112e-08,1.5708,2.51603,0.707107,0.707107
4.07257e-08,1.5708,1.88776,0.707107,0.707107
4.14402e-08,1.5708,1.25949,0.707107,0.707107
4.21546e-08,1.5708,0.631222,0.707107,0.707107
4.28691e-08,1.5708,0.00295304,0.707107,0.707107
4.35836e-08,1.5708,-0.625316,0.707107,0.707107
4.42981e-08,1.5708,-1.25359,0.707107,0.707107
4.50126e-08,1.5708,-1.88185,0.707107,0.707107
4.57271e-08,1.5708,-2.51012,0.707107,0.707107
4.64416e-08,1.5708,-3.13839,0.707107,0.707107
4.7156e-08,1.5708,-3.76666,0.707107,0.707107
4.78705e-08,1.5708,-4.39493,0.707107,0.707107
4.8585e-08,1.5708,1.25998,0.707107,0.707107
4.92995e-08,1.5708,0.631715,0.707107,0.707107
5.0014e-08,1.5708,0.00344521,0.707107,0.707107
5.07285e-08,1.5708,-0.624824,0.707107,0.707107
5.1443e-08,1.5708,-1.25309,0.707107,0.707107
5.21574e-08,1.5708,4.40182,0.707107,0.707107
5.28719e-08,1.5708,3.77355,0.707107,0.707107
5.35864e-08,1.5708,3.14528,0.707107,0.707107
5.43009e-08,1.5708,2.51701,0.707107,0.707107
5.50154e-08,1.5708,1.88875,0.707107,0.707107
5.57299e-08,1.5708,1.26048,0.707107,0.707107
5.64444e-08,1.5708,0.632207,0.707107,0.707107
5.71588e-08,1.5708,0.00393738,0.707107,0.707107
5.78733e-08,1.5708,-0.624332,0.707107,0.707107
5.85878e-08,1.5708,-1.2526,0.707107,0.707107
5.93023e-08,1.5708,-1.88087,0.707107,0.707107
6.00168e-08,1.5708,-2.50914,0.707107,0.707107
6.07313e-08,1.5708,-3.13741,0.707107,0.707107
6.14458e-08,1.5708,-3.76568,0.707107,0.707107
6.21602e-08,1.5708,-4.39395,0.707107,0.707107
6.28747e-08,1.5708,1.26097,0.707107,0.707107
6.35892e-08,1.5708,0.632699,0.707107,0.707107
6.43037e-08,1.5708,0.00442956,0.707107,0.707107
6.50182e-08,1.5708,-0.62384,0.707107,0.707107
6.57327e-08,1.5708,-1.25211,0.707107,0.707107
6.64471e-08,1.5708,4.40281,0.707107,0.707107
6.71616e-08,1.5708,3.77454,0.707107,0.707107
6.78761e-08,1.5708,3.14627,0.707107,0.707107
6.85906e-08,1.5708,2.518,0.707107,0.707107
6.93051e-08,1.5708,1.88973,0.707107,0.707107
7.00196e-08,1.5708,1.26146,0.707107,0.707107
7.07341e-08,1.5708,0.633191,0.707107,0.707107
